title,company,url,posted,description,ats_score,ats_reasoning
Machine Learning Engineer (Visual Specialist),OhChat,https://uk.whatjobs.com/gfj/319110051?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-05-08T12:27:07,"About Oh Oh is on a mission to become the OpenAI of the spicy content industry, building a full-spectrum ecosystem of revolutionary AI infrastructure and products. Our platform, OhChat, features digital twins of real-world personalities and original AI characters, enabling users to interact with lifelike AI-generated characters through text, voice, and images, with a roadmap that includes agentic superModels, API integrations, and video capabilities. We're looking for a Machine Learning Engineer with deep expertise to own, optimise, and scale our AI models, ensuring cutting-edge performance and user engagement. The Role We are seeking a Machine Learning Engineer with a focus on back-end Python engineering visual asset generation to join our team. The ideal candidate will have hands-on experience in working with deep learning models for image and video generation, leveraging technologies such as SDXL, Flux, and WAN 2.1. You should be familiar with popular machine learning frameworks like PyTorch, Diffusers, Transformers, and Docker. As a member of our team, you'll work closely with researchers, engineers, and creatives to develop and deploy solutions that generate high-quality visual content, as well as playing a key part in building the back-end of our platform. What You'll Do ✅ Model Development & Optimisation: Fine-tune and optimise open-source and proprietary generative models (e.g., Flux, Wan 2.1). ✅ Inference Optimisation & Scaling: Deploy and optimise models optimised for low latency and cost-effective inference on GPU-based infrastructure . ✅ Custom Model Training: Train models with domain-specific datasets, improve response quality, reduce hallucinations, and enhance alignment with user intent. ✅ Back-end engineering: Write clean, scalable Python code to expand and improve our back-end ✅ Security & Compliance: Ensure AI models meet GDPR and ethical AI guidelines for content generation. - Important note: As a part of this role you will be responsible for managing and maintaining large multimedia datasets of NSFW/adult content. What We're Looking For",90,"The candidate has a strong background in data science, machine learning, and AI, with specific experience in predictive modeling, feature selection, and AI systems development, which align well with the job description's requirements for a Machine Learning Engineer focusing on back-end Python engineering and visual asset generation."
AI Solution Intern,Ideagen,https://uk.linkedin.com/jobs/view/ai-solution-intern-at-ideagen-4223630077?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-05-08T12:27:07,"Role Purpose Location- Ruddington, Nottinghamshire Level - Placement (FTC 3 months) Department - Customer Working Pattern - Hybrid (three days a week in the head office)",95,"The candidate's extensive experience in data science, machine learning, AI, and research align well with the job description's requirements for a placement in customer-related roles. Their proficiency in various programming languages, tools, and their track record in developing innovative solutions make them a strong fit for this position."
MLOps & AI Engineer Lead,Dufrain,https://uk.linkedin.com/jobs/view/mlops-ai-engineer-lead-at-dufrain-4223395949?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-05-08T12:27:07,"We are Dufrain, a pure-play data consultancy specialising in helping businesses unlock the true value of their data by providing market-leading data solutions and services. At Dufrain we pride ourselves on a creative and innovative approach, focusing on delivering exceptional outcomes for clients by leveraging data to drive growth and efficiency. Our mission is to inspire, shape and deliver the data capabilities of tomorrow. MAIN PURPOSE OF THE ROLE: We're looking for a MLOps & AI Engineer Lead - a technically outstanding individual who thrives on collaboration and delivering meaningful impact. You'll be passionate about building and scaling intelligent AI solutions, working closely with clients, stakeholders, and cross-functional teams to bring them to life. This role is pivotal in shaping how we design, deploy, and scale AI-driven systems. You'll take ownership across the entire model lifecycle - from infrastructure and pipeline development to deployment, optimisation, and monitoring. You'll also play a key role in operationalising generative AI solutions, including large language models (LLMs), ensuring they are secure, scalable, and cost-effective. Role Responsibilities - Design, implement, and manage scalable and secure infrastructure to support AI/ML workloads - Build and maintain robust pipelines for model training, validation, deployment, and monitoring - Act as a trusted technical advisor, understanding client challenges and designing tailored MLOps solutions - Collaborate with internal teams and clients to translate business needs into practical, scalable AI solutions - Optimise the performance and reliability of models running in production environments - Develop and maintain strong client relationships through effective communication and delivery excellence - Lead technical discovery sessions to identify requirements and key pain points - Mentor and guide cross-functional teams of ML engineers, data scientists, and consultants, fostering innovation and best practices - Contribute to the company's thought leadership by participating in industry events and producing content on emerging trends - Stay ahead of developments in MLOps, DevOps, and AI infrastructure, bringing fresh insights into our work - Identify skills gaps and support continuous learning through targeted training and development initiatives Skills and experience required - Deep technical expertise in deploying, monitoring, and managing AI/ML solutions in production environments - Excellent communicator, comfortable working directly with clients and multidisciplinary teams - Hands-on experience with MLOps tools such as MLflow, DVC, Kubeflow, Docker/Kubernetes, and GitOps practices - Strong working knowledge of Azure and Databricks services - Proficient with observability and monitoring tools (e.g. Prometheus, Grafana, Datadog) - Curious and commercially minded - focused on delivering scalable, valuable solutions - Familiarity with additional cloud platforms such as AWS or GCP is a plus - Demonstrated leadership skills, with experience mentoring others and leading delivery efforts If you're passionate about data, and you're looking to join a leading data and analytics company based in the UK, you could find your dream role at Dufrain. Please submit your CV highlighting your relevant experience and certifications. Applicants must have the right to work in the UK and not require sponsorship now or in the future. Visa sponsorship is not available. We are an equal opportunity employer and value diversity at our company.. We do not discriminate on the basis of race, colour, religion, sex, sexual orientation, gender identity, national origin, disability, age, or any other status protected by law. All qualified applicants will receive consideration for employment without regard to these factors. We encourage applications from individuals of all backgrounds and experiences. ""Kindly note that we are not engaging with recruitment agencies for this role.""",95,"The CV showcases extensive experience in data science, machine learning, AI, and MLOps, along with relevant research and project work. The candidate's skills align closely with the technical requirements and responsibilities of the MLOps & AI Engineer Lead role."
Full-Stack Python Developer – Business App (NiceGUI + ERP Integration + AI Development),The Fragrance Shop,https://uk.linkedin.com/jobs/view/full-stack-python-developer-%E2%80%93-business-app-nicegui-%2B-erp-integration-%2B-ai-development-at-the-fragrance-shop-4225526017?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-05-08T12:27:07,"Overview We are looking for a pragmatic and skilled Full-Stack Python Developer to build an internal web application that integrates seamlessly with our business systems-including Microsoft Dynamics 365 Business Central. This app will serve as an operational interface to our stock, purchasing, and sales systems, enabling business users to interact with real-time data through custom dashboards and forms built using NiceGUI. The ideal candidate is someone who excels in Python-based UI development, has prior experience integrating with ERP platforms, and embraces AI-powered coding tools (like GitHub Copilot or ChatGPT) to write, refactor, and troubleshoot code efficiently. Key Responsibilities - Design and develop a modern internal web application using NiceGUI - Build interactive dashboards and forms to visualize and edit data from stock, sales, and purchasing - Integrate with Microsoft Dynamics 365 Business Central via OData, APIs, or web services - Work with other ERP systems and business software via REST APIs, SOAP, or direct database access - Implement bi-directional data handling (read/write): e.g., order entry, stock updates, purchase tracking - Use AI tools (e.g., Copilot, ChatGPT) to accelerate coding, automate boilerplate, and enhance productivity - Write clean, modular, and maintainable Python code with appropriate testing - Collaborate with stakeholders and power users to define UI flows and business logic Required Skills & Experience - Strong Python development experience (3+ years) - Demonstrated experience building apps with NiceGUI or similar frameworks (e.g., Streamlit, Gradio) - Proven integration work with Microsoft Dynamics 365 Business Central (e.g., OData v4, AL extensions, or API endpoints) - Experience connecting with other ERP systems (e.g., SAP, NetSuite, Oracle, Zoho) via APIs or DBs - Comfortable working with REST APIs, JSON, CSV, and SQL - Familiarity with version control (e.g., Git) and structured development workflows - Hands-on experience with AI-assisted coding (Copilot, ChatGPT, CodeWhisperer, etc.) - Ability to write forms, filters, tables, and visual components tailored to business workflows Bonus Skills - Experience with FastAPI for backend routing and API exposure - Knowledge of pandas, SQLAlchemy, or data visualization tools - Familiarity with deploying Python apps via Docker, internal servers, or cloud platforms - Basic understanding of authentication and security for internal tools - Background in wholesale, distribution, or retail systems",65,"The CV showcases a strong background in data science, machine learning, and AI with relevant experience in developing predictive models, building interactive dashboards, and implementing AI-powered solutions. While the candidate's skills align more with data science and AI research than full-stack Python development, they demonstrate expertise in Python programming, cloud tools, and machine learning."
Gen AI Engineer,Cloud Decisions,https://uk.linkedin.com/jobs/view/gen-ai-engineer-at-cloud-decisions-4207715891?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-05-08T12:27:07,"Gen AI Engineer Remote - Be based anywhere in the UK To £60,000 + bens This is a unique and rare opportunity to join one of the UK's top Microsoft Solution Partners, delivering cutting edge AI-driven solutions. If you want to future proof your tech career, this is the move! Why they're best in the business? ✅ Azure Expert MSP, Azure and Data +AI Solutions Partner with 15 Advanced Specialisations ✅ 25%+ YoY recurring revenue growth ✅ Top 10 ""Best Tech companies to work for"" in the UK So what's the role...? As a Gen AI Engineer, you will play a key role in designing, implementing, and optimising AI solutions for clients. Working as part of an agile team, you will provide expert guidance, leveraging AI technologies to drive innovation and business success. You will collaborate with stakeholders to understand business needs, develop AI models, and ensure seamless deployment and integration. Key Responsibilities - Collaborate with clients to identify business challenges and opportunities for Gen AI-driven solutions. - Design, develop, and deploy AI models and algorithms tailored to client needs. - Provide technical expertise in AI technologies, including machine learning, natural language processing, and computer vision. - Conduct data analysis and pre-processing to prepare datasets for AI model training. - Implement AI models into production environments and optimize their performance. - Monitor and evaluate AI models, making necessary improvements based on real-world performance. - Deliver training and support to clients on AI tools, best practices, and deployment strategies. - Stay up to date with the latest advancements in AI, data science, and cloud technologies. Skills & Experience Required ✅ Hands-on experience with Generative AI models or large language models (LLMs), including training, fine-tuning, and prompt engineering. ✅ Proficiency in programming languages such as Python, R, and Java. (Python is a must have!) ✅ Strong knowledge of data engineering processes (data cleaning, feature engineering, and integration). ✅ Ability to work independently and as part of a dynamic team. ✅ Experience with Microsoft Azure ✅ Good knowledge of optimisation techniques and design patterns for large data solutions. ✅ A Bachelor's or Master's degree in Data Science, Statistics, Computer Science (nice to have!) What's in It for You? 🌟 Flexible remote working, must be UK based. 🌟 Work on cutting-edge Gen AI projects with top-tier clients 🌟 Professional development and growth opportunities (Your growth is directly linked to the growth of the practice) 🌟 Collaborative and inclusive team culture If you're passionate about Generative AI and want to be part of an innovative, forward-thinking team, apply today!",85,"The candidate has a PhD in Data Science with research experience in AI, data analysis, and machine learning. They have worked on projects involving predictive modeling, feature selection, and AI-powered applications. The candidate also has proficiency in programming languages like Python, which is a requirement for the role. However, there is no specific mention of experience with Generative AI models or LLMs in the CV."
"Senior Backend Engineer, Contract | NestJS, TS, Docker, Kubernetes, AWS and DevOps | AI / LLM focused, Social Media start-up, US expansion | £500 - 550pd Outside, 6-month contract | London, Hybrid",Owen Thomas | Pending B Corp™,https://uk.linkedin.com/jobs/view/senior-backend-engineer-contract-nestjs-ts-docker-kubernetes-aws-and-devops-ai-llm-focused-social-media-start-up-us-expansion-%C2%A3500-550pd-outside-6-month-contract-london-hybrid-at-owen-thomas-pending-b-corp%E2%84%A2-4225564484?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-05-08T12:27:07,"Senior Backend Engineer, Contract | NestJS, TS, Docker, Kubernetes, AWS and DevOps | AI / LLM focused, Social Media start-up, US expansion | £500 - 550pd Outside, 6-month contract | London, Hybrid Company: An AI Social app start-up - with huge ambition, is going for a big scale up phase across the US this summer. The company is already generating crazy amounts of traffic to their application and are releasing features weekly, with incredible speed and impact. They are now looking to bolster the lean close-knit team, with a Full stack Platform engineer, who can drive forward all things Cloud, Infrastructure and DevOps (addressing a skills gap they currently have). The business is well positioned financially and are looking to raise more money as they are set to scale the US. This is a great opportunity to join a company with an incredible office and culture - ideally you can visit the office weekly, but can be fully remote for someone excellent! Senior Backend Engineer, Contract | NestJS, TS, Docker, Kubernetes, AWS and DevOps | AI / LLM focused, Social Media start-up, US expansion | £500 - 550pd Outside, 6-month contract | London, Hybrid - You'll build and scale the backend systems and APIs that power our product experience, working closely with the iOS team to deliver features customers love. - 5+ years commercial experience working commercially as an Backend Engineer. - Experienced managing Infrastructure with Terraform and CI/CD pipelines - TypeScript, NodeJS (express), Docker, Terraform AWS, Postgres - B2C exposure ideally - Excellent communicator (especially about how things work under the hood) - Strong with Systems Design and Architecture design Senior Backend Engineer, Contract | NestJS, TS, Docker, Kubernetes, AWS and DevOps | AI / LLM focused, Social Media start-up, US expansion | £500 - 550pd Outside, 6-month contract | London, Hybrid - £500-550 per day Outside ir35 - 6-month contract, likely extension Please apply ASAP with a CV and we will give you a call if we think you are a match! :D",90,"The CV aligns well with the job description for a Senior Backend Engineer with expertise in AI, LLM, and DevOps, showcasing strong skills in programming, machine learning, cloud technologies, and collaborative research experience."
Mission Software Engineer- Maneuver Dominance,Anduril Industries,https://uk.linkedin.com/jobs/view/mission-software-engineer-maneuver-dominance-at-anduril-industries-4056154357?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-05-08T12:27:07,"Anduril Industries is a defense technology company with a mission to transform U.S. and allied military capabilities with advanced technology. By bringing the expertise, technology, and business model of the 21st century's most innovative companies to the defense industry, Anduril is changing how military systems are designed, built and sold. Anduril's family of systems is powered by Lattice OS, an AI-powered operating system that turns thousands of data streams into a realtime, 3D command and control center. As the world enters an era of strategic competition, Anduril is committed to bringing cutting-edge autonomy, AI, computer vision, sensor fusion, and networking technology to the military in months, not years. About The Team The Maneuver Dominance team at Anduril develops operationally relevant, multi-asset autonomy. We are focused on making large groups of autonomous systems work effectively together. We leverage existing Anduril platforms like Ghost, Altius, and Dive XL, in addition to bringing 3rd party platforms into Anduril's Lattice ecosystem. We develop Perception and Autonomy algorithms to solve some of the hardest problems facing our customers. We are looking for software engineers and roboticists excited about creating a powerful robotics stack that includes computer vision, motion planning, SLAM, controls, estimation, and secure communications. About The Job As a Mission Software Engineer on the Maneuver Dominance team, you will solve a wide variety of problems involving networking, autonomy, systems integration, robotics, and more, while making pragmatic engineering tradeoffs along the way. Your efforts will ensure that Anduril products seamlessly work together to achieve a variety of critical outcomes. Above all, Mission Software Engineers are driven by a ""Whatever It Takes"" mindset-executing in an expedient, scalable, and pragmatic way while keeping the mission top-of-mind and making sound engineering decisions to deliver successful outcomes correctly, on-time, and with high quality. What You'll Do - Own the software solutions that are deployed to customers - Write code to improve products and scale the mission capability to more customers - Collaborate across multiple teams to plan, build, and test complex functionality - Create and analyze metrics that are leveraged for debugging and monitoring - Triage issues, root cause failures, and coordinate next-steps - Partner with end-users to turn needs into features while balancing user experience with engineering constraints - Travel up to 20% of time to build, test, and deploy capabilities in the real world Required Qualifications - At least 3-5+ years working with a C++ or Rust and Python. - Must be able to obtain and maintain a UK Security Clearance. - Strong engineering background from industry or school, ideally in areas/fields such as Computer Science, Software Engineering, Mathematics, or Physics - Experience building software solutions involving significant amounts of data processing and analysis. - Ability to quickly understand and navigate complex systems and established code bases. - A desire to work on critical software that has a real-world impact. Preferred Qualifications - Strong background with focus in Physics, Mathematics, and/or Motion Planning to inform modeling & simulation (M&S) and physical systems. - Developing and testing multi-agent autonomous systems and deploying in real-world environments. - Feature and algorithm development with an understanding of behavior trees. - Developing software/hardware for flight systems and safety critical functionality. - Distributed communication networks and message standards. - Knowledge of military systems and operational tactics. UK Salary Range £65,000-£100,000 GBP",95,"The candidate's extensive experience in data science, machine learning, AI, and software engineering align well with the job description, especially in areas like robotics, autonomy, computer vision, and networking technology. The candidate's background and skills make them a strong match for the role."
"Research Scientist, Science",Atomic Weapons Establishment,https://www.recruit.net/job/research-scientist-science-jobs/55AFD057F5E7277E?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-05-08T12:27:07,"Theoretical Scientist. Closing Date: 8th May 2025 Location: RG7 4PR , located between Reading and Basingstoke, with free onsite parking . Due to the classified nature of the work involved, there are limited opportunities to work from home in this role. Junior Scientist (recent graduates): £29,490- £37,000 (depending on your suitability, qualifications, and level of experience) Experienced Scientist (PhD or graduates with post-graduate experience): £38,020- £We will consider flexible working requests so that your work may fit in with your lifestyle. Let us introduce the role AWE is currently recruiting for a Theoretical Scientist to join the Environments and Transport (EAT) Team which sits within our Radiation Science Group (RSG). This role is ideally suited to a Physicist with interest in developing physics codes and modelling the interaction of radiation (photons, electrons, and neutrons) with matter. Working within the Radiation Science Group the successful candidate will be part of a team applying and developing radiation effects tools to solve the interaction of nuclear radiation environments with complex geometries. This role provides excellent development opportunities and the chance to collaborate with partners in the UK, and overseas. You will gain an understanding of Monte Carlo and deterministic radiation transport techniques, work with developers to ensure these are robustly implemented, and develop our future physics codes using modern software practices. You will apply these using AWE's High-Performance Computing (HPC) platforms to our core product and to our experimental programmes, utilizing meshing tools to support Finite Element Analysis (FEA). A strong degree in Physics or a related discipline, with a focus on modelling or code development. Although not essential, a PhD or relevant post-graduate experience would be beneficial for this role. A willingness to travel overseas is essential to participate in modelling workshops and peer reviews. Developing physics codes and models. Programming languages such as Python or C++. Linux and High-Performance Computing (HPC). You will also have initiative, enthusiasm, a flexible approach, and ability to work to tight deadlines. meaning you get every other Friday off work, in addition to 270 hours of annual leave. Market leading contributory pension scheme (we will pay between 9% and 13% of your pensionable pay depending on your contributions). Family friendly policies: Maternity Leave - 39 Weeks Full Pay and Paternity Leave - Opportunities for Professional Career Development including funding for annual membership of a relevant professional body. Employee Assistance Programme and Occupational Health Services. Life Assurance (4 x annual salary). Discounts - Special Leave Policy including paid time off for volunteering, public service (including reserve forces) and caring. The 'Working at AWE' page on our website is where you can find full details in the 'AWE",95,"The candidate's extensive experience in predictive analytics, machine learning, Bayesian modeling, and programming align well with the job description's requirements for developing physics codes and modeling radiation interactions. Their research experience and projects demonstrate a strong background in data analysis, machine learning, and MLOps frameworks, which are relevant to the role."
Biomedical Scientist,Your World Recruitment Group,https://uk.linkedin.com/jobs/view/biomedical-scientist-at-your-world-recruitment-group-4225990894?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-05-08T12:27:07,This Microbiology Biomedical Scientist Band 5-6 position is suitable for a qualified Biomedical Scientist to apply on a locum basis to start as a locum with a pay of £30 - £35 P/H. Beneficial criteria to help be successful in this BMS role include the following: - Microbiology - Bacteriology - All benches covered - Virology background considered - HCPC Registration - Biomedical Science Background - Right to Work in the UK (we are unable to provide sponsorship),70,"The candidate demonstrates extensive experience in data science, machine learning, and AI with a strong background in healthcare research and software engineering, but lacks specific experience in microbiology or virology."
Postdoctoral Research Scientist in Metagenomics,Earlham Institute,https://uk.indeed.com/viewjob?jk=79084a89ba7c7137&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-05-08T12:27:07,"- *THIS VACANCY MUST BE APPLIED FOR VIA THE NBI JOBS WEBSITE** Applications are invited for a Postdoctoral Research Scientist to join the Laboratory of Dr Hildebrand and Prof Quince in the Research Faculty of the Earlham Institute, based in Norwich, UK. Background: This post is part of the OpenCLIM_LANDS project, that aims at providing the insights needed to put the UK on a path to achieving net-zero emissions by 2050, achieved through climate resilient soil health, food security, and biodiversity net gain. In this multi-centre project, we will combine climate forecasting with latest advances in soil science to enable a unique perspective into land use under forecasted climate change scenarios. The role: In this post, we will address the following questions: How do soil microbes establish, contribute and maintain healthy, biodiverse macro- & micro-communities, and how are these impacted by different land use scenarios? How can we use machine learning to predict soil microbiomes from either pristine or agriculturally used soils, predict their functional capacity (e.g. carbon storage)? What practices can help microbial soil communities recover? To answer these and more questions the OpenCLIM_LANDS multi-centre project was established. The project holder will use metagenomics (similar to doi:10.1038/s41586-018-0386-6, 10.1111/1462-2920.15314) to profile both taxonomic and functional compositions of >3,000 newly sequenced soil sites. Using machine learning we will build comprehensive profiles of typically expected microbial profiles across soil sites (similar to doi: 10.1016/j.chom.2023.05.024) and their relation to soil health and carbon storage. Using a combination of robotics and third-generation sequencing, we will use predictive microbial modelling to improve land use on existing agricultural sites. Long-term, this work will enable microbially-informed agriculture, combating the impact of climate change and understanding how healthy soil microbiomes are established & maintained. The environment: The Hildebrand group uses metagenomics to research the diversity, community interactions, and evolution of microbes in communities using custom software solutions. The Quince group explores environmental and host-associated microbiomes using statistics and machine learning. Both groups are situated at the Norwich Research Park (NRP) UK, that integrates the 4 BBSRC Institutes, University of East Anglia (UEA), > 15 companies, 3,000 researchers and clinicians, and 17,000 students. Norwich ranked in the top 10 of UK cities with a historical town centre and an active food & coffee aficionado scene. OpenCLIM_LANDS is a multi-centre UK collaboration between Earlham & Quadram Institutes, UEA, University of Leeds, Newcastle University, UK Centre for Ecology & Hydrology, among others. The applicant will have direct access to established PacBio/ONT, Hi-C and single cell sequencing facilities, as well as one of UK's largest HPC cluster on-site. The ideal candidate: The applicant needs to hold a PhD (or equivalent) in biology, bioinformatics, computer science or a related discipline with a background and/or interest in at least one of the following subjects: - Microbiomes & biodiversity - Metagenomics & patient cohorts - Ecology & evolution The ideal candidate will have experience in conducting scientific experiments independently, writing papers, presenting work and grant writing. Basic statistics and programming skills (either R, python, Perl, C++, or equivalent) is expected. Specialised skills will be taught and developed through mentorship and collaborations. The applicant is expected to help in the supervision of junior group members and to represent the group at trainings.",95,"The CV showcases extensive experience in data science, machine learning, and AI, with a strong research background in bioinformatics and computational biology, making it a good fit for the research scientist position focusing on soil microbiomes and machine learning."
